condition,protocol,trial,duration_ms
baseline,tcp,0,97.99791699333582
baseline,tcp,1,94.70745798898861
baseline,tcp,2,95.02025000983849
baseline,tcp,3,97.10554100456648
baseline,tcp,4,97.2218749957392
baseline,quic,0,77.52524998795707
baseline,quic,1,60.763082990888506
baseline,quic,2,66.06841599568725
baseline,quic,3,61.09445799665991
baseline,quic,4,63.0959999980405
baseline,dtls,0,73.7754580040928
baseline,dtls,1,61.26945799042005
baseline,dtls,2,59.58866600121837
baseline,dtls,3,59.21074999787379
baseline,dtls,4,56.94779100304004
lossy,tcp,0,102.53208299400285
lossy,tcp,1,94.38708401285112
lossy,tcp,2,98.94825000083074
lossy,tcp,3,91.14429200417362
lossy,tcp,4,95.44708300381899
lossy,quic,0,103.70629100361839
lossy,quic,1,60.616083996137604
lossy,quic,2,62.7979170094477
lossy,quic,3,61.071416988852434
lossy,quic,4,66.78116699913517
lossy,dtls,0,58.36229199485388
lossy,dtls,1,54.398415988544
lossy,dtls,2,55.04516599467024
lossy,dtls,3,54.516791002242826
lossy,dtls,4,55.00929200206883
baseline,tcp,0,98.30112499184906
baseline,tcp,1,94.76366700255312
baseline,tcp,2,92.08950000174809
baseline,tcp,3,96.35241700743791
baseline,tcp,4,93.14608400745783
baseline,quic,0,69.64441599848215
baseline,quic,1,62.446750001981854
baseline,quic,2,67.57833399751689
baseline,quic,3,57.73400000180118
baseline,quic,4,71.38945801125374
baseline,dtls,0,65.55450000450946
baseline,dtls,1,57.97041699406691
baseline,dtls,2,55.941583996172994
baseline,dtls,3,56.187875001342036
baseline,dtls,4,55.46241599950008
lossy,tcp,0,95.02895800687838
lossy,tcp,1,96.01929198834114
lossy,tcp,2,96.19829199800733
lossy,tcp,3,94.50333299173508
lossy,tcp,4,97.31016699515749
lossy,quic,0,62.05258298723493
lossy,quic,1,62.49004200799391
lossy,quic,2,56.15020799450576
lossy,quic,3,60.05391600774601
lossy,quic,4,103.90925001411233
lossy,dtls,0,59.90345899772365
lossy,dtls,1,60.773042001528665
lossy,dtls,2,52.54929099464789
lossy,dtls,3,53.45295800361782
lossy,dtls,4,52.52812500111759
baseline,tcp,0,108.96837500331458
baseline,tcp,1,94.35166700859554
baseline,tcp,2,95.00145800120663
baseline,tcp,3,93.27524999389425
baseline,tcp,4,93.21462499792688
baseline,quic,0,74.30291699711233
baseline,quic,1,60.57258299551904
baseline,quic,2,65.48670900519937
baseline,quic,3,62.75324999296572
baseline,quic,4,61.15245800174307
baseline,dtls,0,73.42566600709688
baseline,dtls,1,59.63562500255648
baseline,dtls,2,57.55587499879766
baseline,dtls,3,55.46575000334997
baseline,dtls,4,57.86354100564495
lossy,tcp,0,101.15970800688956
lossy,tcp,1,98.0754589982098
lossy,tcp,2,97.50062500825152
lossy,tcp,3,482.51866600185167
lossy,tcp,4,94.94229100528173
lossy,quic,0,56.50199999217875
lossy,quic,1,62.38045801001135
lossy,quic,2,86.19824999186676
lossy,quic,3,93.8092079886701
lossy,quic,4,62.36195900419261
lossy,dtls,0,53.81412499991711
lossy,dtls,1,55.19237500266172
lossy,dtls,2,52.01524999574758
lossy,dtls,3,52.54337500082329
lossy,dtls,4,52.42241598898545
baseline,tcp,0,95.35383399634156
baseline,tcp,1,97.46775000530761
baseline,tcp,2,95.21358300116844
baseline,tcp,3,94.74737499840558
baseline,tcp,4,93.47875000094064
baseline,quic,0,75.46458399156108
baseline,quic,1,58.66424999840092
baseline,quic,2,60.39841599704232
baseline,quic,3,60.16708399693016
baseline,quic,4,68.99654200242367
baseline,dtls,0,66.67808300699107
baseline,dtls,1,52.21708399767522
